ID Empreendimento,Mes,01. Receita Operacional Bruta (R),02. Deducoes da Receita Bruta (R),03. Receita Operacional Liquida (R),04. Custo dos Produtos/Servicos Vendidos (R),05. Lucro Bruto (R),06. Despesas com Vendas (R),07. Despesas Administrativas (R),08. Outras Despesas Operacionais (R),09. EBITDA (R),10. Depreciacao e Amortizacao (R),11. EBIT (R),12. Resultado Financeiro (R),13. EBT (R),14. Imposto de Renda e Contribuicao Social (R),15. Lucro Liquido (R)
4,2023-10-01,222979.84,24609.74,385722.71,57459.95,246167.66,4720.35,10839.84,6608.04,173193.77,6823.46,27139.9,-3082.17,224589.13,31078.59,51649.92
5,2023-07-01,323758.1,12408.28,219006.22,87721.84,87788.42,14204.97,17461.35,12637.75,278102.44,1835.49,87874.88,-7016.43,45331.89,4071.64,54744.05
3,2023-04-01,473092.91,24140.33,452475.17,30895.56,125223.78,15033.58,5419.79,5471.39,99194.56,19856.43,110811.61,15420.24,161113.65,11980.51,268952.63
5,2023-08-01,222343.24,20940.43,244828.85,145808.39,112203.22,1508.17,3239.62,12990.86,245117.82,9508.72,34009.54,-18437.21,80316.93,60121.99,83802.81
5,2023-04-01,119450.99,13842.13,433820.09,33870.29,231714.51,9194.1,24466.8,2910.7,198392.7,16457.52,126578.77,-12816.75,80798.5,44425.49,96028.74
2,2023-07-01,370251.11,15837.42,418123.76,101533.44,145407.9,19599.98,5442.28,8529.13,207243.21,3206.39,118889.07,-1373.02,42043.83,20820.29,148612.18
3,2023-04-01,414736.45,17148.78,124732.39,72476.87,282293.27,6711.49,5846.4,2082.33,100363.98,12566.38,276377.33,1497.89,53777.12,36479.28,57529.34
3,2023-12-01,483147.42,18315.32,461508.22,42355.91,84837.36,17806.11,17976.51,6915.65,230754.77,10973.68,142604.88,-568.63,128610.3,71056.31,229190.77
3,2023-05-01,163120.35,6533.98,473536.67,32953.79,262678.6,12150.91,22471.03,14572.72,196457.82,19118.53,194529.49,3917.27,35194.81,4667.39,200093.0
5,2023-07-01,256855.97,23671.76,317458.61,61490.23,268039.04,6634.34,2223.76,9581.65,164366.86,16268.56,256169.56,17175.54,46744.65,75884.08,217305.08
4,2023-10-01,437656.18,16939.99,388244.02,42802.08,211502.99,16883.75,14379.49,758.4,154803.22,8852.28,257486.3,5841.17,39576.07,15835.45,136292.4
3,2023-03-01,422748.56,23622.98,448474.82,142839.43,65234.59,19822.57,19675.03,12426.69,102468.7,16091.75,183194.99,-1272.84,88444.3,80414.13,86404.83
5,2023-10-01,349918.28,17637.97,83009.76,59371.35,119649.3,15098.11,22666.37,7757.98,72609.65,8752.64,155787.3,4259.79,274010.54,61742.5,119360.97
2,2023-05-01,207747.42,13620.31,446996.01,41295.83,141311.18,2164.58,28541.26,10237.45,233622.34,15455.54,99801.67,-11515.45,17877.99,14381.48,33624.63
4,2023-11-01,213614.12,16338.56,325946.46,122361.84,161961.94,1995.8,2451.35,9810.87,71854.26,6537.82,136599.25,-17752.89,74430.52,8668.16,178524.87
2,2023-03-01,149601.2,21590.07,406382.56,79710.25,244713.62,10339.56,27161.6,3233.06,62703.08,8085.94,30801.16,7609.36,256477.92,26855.25,224392.33
4,2023-05-01,468741.47,11522.52,291288.91,131239.92,123203.64,1115.27,29067.17,6380.68,257587.8,12507.62,56001.57,10321.99,30319.16,57106.56,148020.63
5,2023-03-01,169172.61,24129.2,287218.42,130611.72,25556.42,13843.02,26241.45,3616.04,37787.31,11276.75,114753.08,17880.69,229761.63,5322.7,119346.0
1,2023-11-01,329154.64,14319.1,434007.28,149085.69,284154.0,1309.74,28568.76,3089.48,58708.24,8514.1,16484.6,18386.28,21820.9,79034.57,234280.18
4,2023-10-01,333740.57,24124.74,277988.8,126459.35,151859.67,19488.24,5319.02,8577.06,40952.6,18814.97,210507.39,15060.87,70673.44,34713.14,18903.02
2,2023-11-01,247842.18,22615.13,263715.75,55698.22,106280.33,17732.02,29782.93,3452.6,288083.06,10576.78,174817.46,16598.54,249805.77,24988.55,48022.06
5,2023-07-01,241007.38,20353.24,318275.52,100373.81,269851.68,16492.19,23426.05,3420.91,44878.23,14703.76,249497.55,10389.02,6683.37,69376.14,133285.24
4,2023-01-01,367435.37,14348.76,282427.99,93150.01,288047.84,16435.83,3945.6,9584.83,16707.06,8922.2,56887.97,15801.38,136094.23,74341.46,115262.72
1,2023-09-01,255319.11,16738.9,253514.78,90982.76,242966.85,16853.13,21008.93,6331.24,189538.12,14742.33,270989.5,-19923.29,210002.67,60388.73,249911.66
1,2023-09-01,202046.16,21760.59,147209.53,65616.89,128066.37,9250.86,21687.51,3438.56,218345.42,16055.21,262515.82,-18839.19,100818.43,43929.5,42270.37
3,2023-05-01,259652.68,15881.12,233960.19,55216.9,90480.54,16045.28,19621.84,6062.43,65637.14,11394.84,160522.22,10702.25,55999.65,3550.08,195885.46
3,2023-09-01,423064.83,19763.79,187818.28,116027.39,237403.91,7975.86,26490.93,8901.59,114409.46,1621.27,112707.88,13349.98,22542.27,72135.37,178417.09
2,2023-10-01,486591.38,20813.18,235185.89,42211.41,37525.11,17119.34,22965.4,9181.94,103293.06,10579.8,252475.25,-8484.84,250831.81,14785.84,41509.65
4,2023-06-01,354380.09,15261.9,312263.32,35953.92,139271.23,12741.36,6528.35,13521.84,221300.67,18078.94,273485.89,-17975.81,219464.53,49847.6,205348.31
4,2023-05-01,412840.49,15724.95,318540.69,75749.24,251435.64,7808.56,9005.55,13987.48,127319.95,2593.35,55292.72,-19238.17,194574.26,31134.81,207205.45
3,2023-03-01,313129.94,8956.69,170464.59,119271.06,198447.01,15163.99,14975.81,3443.75,165646.58,12099.96,171898.67,-16976.87,229312.83,45177.81,151590.72
4,2023-11-01,349929.26,9894.78,108791.46,134223.96,243825.12,5613.66,13054.8,7609.72,236279.79,1649.91,150866.3,-1191.56,157250.12,61918.3,35602.62
4,2023-11-01,495234.66,23098.86,372775.08,94815.23,194739.47,19328.61,20563.57,6961.26,155579.65,10257.55,160168.53,18296.21,246866.53,69870.56,109500.0
1,2023-08-01,275367.55,21806.59,286428.28,130791.89,93104.68,13630.16,5819.9,11625.55,221797.65,14146.09,29368.98,-18387.81,146258.71,50184.02,146725.17
3,2023-04-01,126501.88,5202.45,251840.54,33034.95,167380.55,8622.84,11920.54,3293.48,176481.69,8229.73,116906.0,-3263.87,114899.34,28988.8,157758.31
5,2023-10-01,482802.77,22387.75,126838.19,84644.34,255783.93,11463.84,8798.6,3778.41,218121.83,3164.87,51722.66,1598.49,152079.51,57769.2,164589.37
3,2023-03-01,417224.69,5504.7,240865.5,46006.62,90269.24,15013.79,10221.81,2793.97,40851.09,19000.66,254218.64,5220.77,276883.3,19031.96,196172.69
